,channelid,videoid,video_title,video_description,topiccategories,videothumbnails,videotags,videocommentcount,videodislikecount,videolikeCount,videoviewcount,categoryId
36,UCsooa4yRKGN_zEE8iknghZA,pMdJxVjZMRI,The myth of Pandora’s box - Iseult Gillespie,Find out how students can share their ideas as TED Talks here: http://bit.ly/2zpAQUc View full lesson: ...,"['Film', 'Entertainment']",https://i.ytimg.com/vi/pMdJxVjZMRI/hqdefault.jpg,"['TED', 'TED-Ed', 'TED Ed', 'Teded', 'Ted Education', 'Iseult Gillespie', 'Silvia Prietov', 'animation', 'Pandora', ""Pandora's box"", 'Zeus', 'Greek mythology', 'myths', 'mythology', 'Hephaestus', 'Prometheus', ""The Myth of Pandora's Box"", 'Greek mythology explained', 'Myth of Pandora', 'the first woman', 'the creation of woman', 'curiosity', 'the curse of Pandora', 'legends', 'gods and goddesses', 'ancient greece', 'greek gods explained', 'olympians', 'titans', 'greek mythology for kids', 'pandora box', ""pandora's box story"", 'history', 'see u in history']",3160,1416,84636,4432461,27
37,UCsooa4yRKGN_zEE8iknghZA,nIIjhAuC76g,The myth of Hercules: 12 labors in 8-bits - Alex Gendler,Check out our Patreon page: https://www.patreon.com/teded View full lesson: https://ed.ted.com/lessons/the-myth-of-hercules-12-labors-in-8-bits-alex-gendler ...,['Video_game_culture'],https://i.ytimg.com/vi/nIIjhAuC76g/hqdefault.jpg,"['TED', 'TED-Ed', 'TED Ed', 'Teded', 'Ted Education', 'Alex Gendler', 'Jeremie Balais', 'Jeff Le Bar', 'myth', 'Hercules', '12 Labors', '8 bits', 'mythology', 'greek mythology', 'legends']",4663,1260,101597,4098317,27
38,UCsooa4yRKGN_zEE8iknghZA,yJ9UtAmjs7Y,The tale of the doctor who defied Death - Iseult Gillespie,"Dive into the German tale of Godfather Death and his godson, the doctor who tries to master mortality. -- A husband and wife were in despair. The woman had ...","['Entertainment', 'Film']",https://i.ytimg.com/vi/yJ9UtAmjs7Y/hqdefault.jpg,"['godfather death', 'german folktales', 'death', 'death and the doctor', 'god', 'the devil', 'godson', 'potent potion', 'culture', 'world culture', 'german myth', 'german culture', 'education', 'animation', 'yael reisfeld', 'TED', 'TED-Ed', 'TED Ed', 'Teded', 'Ted Education', 'iseult gillespie']",4246,2017,142223,3770497,27
39,UCsooa4yRKGN_zEE8iknghZA,9iMGFqMmUFs,What would happen if you didn’t drink water? - Mia Nacamulli,Check out our Patreon page: https://www.patreon.com/teded View full lesson: ...,['Knowledge'],https://i.ytimg.com/vi/9iMGFqMmUFs/hqdefault.jpg,"['Mia Nacamulli', 'Chris Bishop', 'Hydration', 'H2o', 'science of water', 'TED', 'TED-Ed', 'TED Education', 'TED Ed', 'overhydration', 'dehydration', 'how much water do you need to drink', 'water', 'fresh water', 'drinking water']",5591,2058,95268,9133115,27
40,UCsooa4yRKGN_zEE8iknghZA,YeB-1F-UKO0,A brief history of chess - Alex Gendler,"Trace the storied history of the game of chess, from its origins in 7th century India to the computer software we use today. -- The attacking infantry advances, their ...",,https://i.ytimg.com/vi/YeB-1F-UKO0/hqdefault.jpg,"['chess', 'game of chess', 'chess strategies', 'chess moves', 'history', 'india', 'ancient india', 'gupta empire', 'ashtapada board', 'chaturanga', 'checkmate', 'persia', 'al-Mas’udi', 'silk road', 'china', 'mongols', 'Tamerlane', 'shogi', 'sacrifice the queen', 'enlightenment', 'Immortal Game of 1851', 'immortal game chess', 'Adolf Anderssen', 'cold war', 'soviet union', 'IBM', 'deep blue', 'deep blue ibm', 'Garry Kasparov', 'technology', 'Teded', 'TED Ed', 'TED-Ed', 'TED', 'deep blue ibm vs kasparov', 'animation', 'alex gendler', 'remus & kiki', 'Ted Education']",3544,1209,82017,3129854,27
41,UCsooa4yRKGN_zEE8iknghZA,pOLmD_WVY-E,Why incompetent people think they&#39;re amazing - David Dunning,Check out our Patreon page: https://www.patreon.com/teded View full lesson: ...,,https://i.ytimg.com/vi/pOLmD_WVY-E/hqdefault.jpg,"['TED', 'TED-Ed', 'David Dunning', 'Wednesday Collective', 'Justin Kruger', 'Dunning-Kruger Effect', 'knowledge', 'expert', 'expertise', 'competence', 'confidence', 'psychology', 'behavioral psychology', 'estimate', 'illusory superiority', 'ego']",9963,3217,205408,6266181,27
42,UCsooa4yRKGN_zEE8iknghZA,N5vJSNXPEwA,Can you solve the prisoner hat riddle? - Alex Gendler,View full lesson: http://ed.ted.com/lessons/can-you-solve-the-prisoner-hat-riddle-alex-gendler Want more? Try the buried treasure riddle: ...,,https://i.ytimg.com/vi/N5vJSNXPEwA/hqdefault.jpg,"['Logic', 'Riddle', 'Puzzle', 'TED', 'TED-Ed', 'TED Education', 'TEDx', 'Alex Gendler', 'Hat riddle', 'Creativity', 'Problem solving', 'Critical thinking']",14551,5301,201128,19284663,27
43,UCsooa4yRKGN_zEE8iknghZA,SBGfHk91Vrk,How to spot a pyramid scheme - Stacie Bosley,"Learn the techniques and tricks that pyramid schemes use to recruit new members and how to avoid being fooled yourself. -- In 2004, a nutrition company ...",,https://i.ytimg.com/vi/SBGfHk91Vrk/hqdefault.jpg,"['TED', 'TED-Ed', 'TED Ed', 'Teded', 'Ted Education', 'animation', 'stacie bosley', 'wooden plane productions', 'pyramid scheme', 'pyramid scheme money', 'vemma nutrition', 'fraud', 'economics', 'investing', 'investment', 'ponzi scheme', 'gifting groups', 'investment clubs', 'multi-level marketing', 'multi-level marketing scam', 'scam', 'money']",5780,1193,89624,2912241,27
44,UCsooa4yRKGN_zEE8iknghZA,kB-dJaCXAxA,Why do people join cults? - Janja Lalich,"View full lesson: http://ed.ted.com/lessons/why-do-people-join-cults-janja-lalich Today, there are thousands of cults around the world. Broadly speaking, a cult is ...",,https://i.ytimg.com/vi/kB-dJaCXAxA/hqdefault.jpg,"['TED', 'TED-Ed', 'TED Education', 'TED Ed', 'Janja Lalich', 'Globizco', 'cults', 'Jim Jones', 'Jonestown', 'kool aid', 'drink the kool aid', 'religion', 'business', 'politics', 'therapy', 'ideology', ""Heaven's Gate"", 'cultists', 'ritual', 'isolation', 'indoctrination', 'coersion']",10081,1399,85275,3429401,27
45,UCsooa4yRKGN_zEE8iknghZA,Gjj_-CPxjCM,The myth of Cupid and Psyche - Brendan Pelsue,Check out TED-Ed's Patreon page! https://www.patreon.com/teded View full lesson: https://ed.ted.com/lessons/the-myth-of-cupid-and-psyche-brendan-pelsue ...,,https://i.ytimg.com/vi/Gjj_-CPxjCM/hqdefault.jpg,"['TED', 'TED-Ed', 'TED Education', 'TED Ed', 'Brendan Pelsue', 'Cupid', 'Psyche', 'Venus', 'myth', 'mythology', 'Greek Mythology', 'love', 'Pleasure', 'Apollo', 'Zephyr', 'golden sheep', 'Proserpina']",4908,2008,146920,7190644,27
46,UCsooa4yRKGN_zEE8iknghZA,DhlRgwdDc-E,Debunking the myths of OCD - Natascha M. Santos,View full lesson: http://ed.ted.com/lessons/debunking-the-myths-of-ocd-natascha-m-santos There's a common misconception that if you like to meticulously ...,,https://i.ytimg.com/vi/DhlRgwdDc-E/hqdefault.jpg,"['TED', 'TEDx', 'TED-Ed', 'TED Education', 'Natascha Santos', 'Zedem Media', 'OCD', 'Obsessive-compulsive Disorder (Disease Or Medical Condition)', 'Psychology', 'Psychiatry', 'Repetition', 'Ritual', 'Impulses', 'Obsessions', 'Anxiety', 'Cleaning', 'Double-checking', 'Patterns', 'Rationality', 'Irrationality', 'Neuroscience']",5805,809,70504,3683387,27
47,UCsooa4yRKGN_zEE8iknghZA,ZQUxL4Jm1Lo,What is imposter syndrome and how can you combat it? - Elizabeth Cox,View full lesson: https://ed.ted.com/lessons/what-is-imposter-syndrome-and-how-can-you-combat-it-elizabeth-cox Check out our Patreon page: ...,['Knowledge'],https://i.ytimg.com/vi/ZQUxL4Jm1Lo/hqdefault.jpg,"['TED', 'TED-Ed', 'TED Ed', 'Teded', 'Ted Education', 'Elizabeth Cox', 'Sharon Colman', 'imposter syndrome', 'psychology', 'accomplishments', 'doubt', 'confidence', 'combat', 'help']",2265,1084,68914,2034842,27
48,UCsooa4yRKGN_zEE8iknghZA,OyK0oE5rwFY,The benefits of good posture - Murat Dalkilinç,"View full lesson: http://ed.ted.com/lessons/the-benefits-of-good-posture-murat-dalkinic Has anyone ever told you, “Stand up straight!” or scolded you for ...",,https://i.ytimg.com/vi/OyK0oE5rwFY/hqdefault.jpg,"['Posture', 'Spine', 'Center of gravity', 'Technology', 'Phone', 'Computer', 'Slouch', 'Nadav Arbel', 'Murat Dalkiniç', 'Back', 'Sitting', 'Standing', 'Smartphone', 'TED', 'TED-Ed', 'TED Education', 'TEDx']",4233,1411,134634,7686263,27
