,,ChannelInfo,Category,Subscribers ,Avg.Views ,NoxScore
200, 200     ↓    6  ,   GMM GRAMMY OFFICIAL ,  Music  , 19.1M   -   ,  8.22K   ↑   14.4% ,
201, 201     ↓    4  ,   DJ Snake ,  Music  , 19.1M   -   ,  2.34M   ↑   0.5% ,
202, 202     ↓    4  ,   The ACE Family ,  People & Blogs  , 19.1M   -   ,  6.01M    ↓     2.3% ,
203, 203     -   ,   shakiraVEVO ,  Music  , 18.8M   -   ,  31.16M   ↑   0.2% ,
204, 204     -   ,   Miss Katy ,  Entertainment  , 18.8M   -   ,  813.79K    ↓     17% ,
205, 205   ↑   1  ,   Mikecrack ,  Gaming  , 18.7M ↑  1.1% ,  4.83M   ↑   29.3% ,
206, 206     ↓    1  ,   Michael Jackson ,  Music  , 18.7M ↑  0.5% ,  4.21M   ↑   4.5% ,
207, 207   ↑   1  ,   Anuel AA ,  Music  , 18.5M   -   ,  112.71M   ↑   1.2% ,
208, 208   ↑   2  ,   Jess No Limit ,  Gaming  , 18.5M ↑  1.1% ,  958.63K   ↑   11.6% ,
209, 209     ↓    2  ,   netd müzik ,  Music  , 18.5M   -   ,  16.67K    ↓     24.2% ,
210, 210     ↓    1  ,   David Dobrik ,  People & Blogs  , 18.4M   -   ,  18.06M   ↑   0.3% ,
211, 211     -   ,   KAROL G ,  Music  , 18.4M ↑  0.5% ,  6.31M   ↑   0.4% ,
212, 212   ↑   1  ,   PTXofficial ,  Music  , 18.3M ↑  0.5% ,  1.41M   ↑   5.5% ,
213, 213   ↑   1  ,   Lady Gaga ,  Music  , 18.3M ↑  0.5% ,  1.15M   ↑   0.4% ,
214, 214   ↑   3  ,   infobells - Tamil ,  Education  , 18.3M ↑  1.1% ,  3.6M   ↑   11.4% ,
215, 215     ↓    3  ,   ArianaGrandeVevo ,  Music  , 18.2M   -   ,  95.68M   ↑   0.3% ,
216, 216     -   ,   mmoshaya ,  Entertainment  , 18.2M ↑  0.5% ,  7.38M    ↓     2.4% ,
217, 217     ↓    2  ,   JYP Entertainment ,  Music  , 18.2M   -   ,  16.59M   ↑   8.7% ,
218, 218   ↑   1  ,   TED ,  Nonprofits & Activism  , 18.1M ↑  0.6% ,  91.27K   ↑   7.6% ,
219, 219   ↑   1  ,   Tekashi 6ix9ine ,  Music  , 18.1M ↑  0.6% ,  162.79M   ↑   1.2% ,
220, 220     ↓    2  ,   DLS News ,  News & Politics  , 18.1M   -   ,  206.55K    ↓     25.3% ,
221, 221     -   ,   5-Minute Crafts PLAY ,  Howto & Style  , 17.9M   -   ,  117.15K   ↑   35.1% ,
222, 222   ↑   3  ,   Masha and The Bear ,  Film & Animation  , 17.9M ↑  1.1% ,  2.26M   ↑   9.5% ,
223, 223     -   ,   TheWillyrex ,  Gaming  , 17.9M ↑  0.6% ,  1.1M   ↑   29.1% ,
224, 224     ↓    2  ,   Avicii ,  Music  , 17.9M   -   ,  1.51M   ↑   0.8% ,
225, 225   ↑   3  ,   Bounce Patrol - Kids Songs ,  Music  , 17.8M ↑  0.6% ,  24.08M    ↓     19.8% ,
226, 226     ↓    2  ,   Liza Koshy ,  Comedy  , 17.8M   -   ,  5.28M   ↑   0.3% ,
227, 227     -   ,   Sia ,  Music  , 17.8M ↑  0.6% ,  8.07M   ↑   0.7% ,
228, 228     ↓    2  ,   America's Got Talent ,  Entertainment  , 17.8M ↑  0.6% ,  212.27K    ↓     63.6% ,
229, 229   ↑   1  ,   Brave Wilderness ,  Pets & Animals  , 17.7M ↑  0.6% ,  1.11M    ↓     27.8% ,
230, 230   ↑   5  ,   infobells - Telugu ,  Education  , 17.7M ↑  1.1% ,  5.59M   ↑   7.9% ,
231, 231     ↓    2  ,   Sesame Street ,  Entertainment  , 17.7M   -   ,  529.15K   ↑   15.1% ,
232, 232     ↓    1  ,   LuisFonsiVEVO ,  Music  , 17.6M   -   ,  130.24M   ↑   0.2% ,
233, 233   ↑   7  ,   Jingle Toons ,  Film & Animation  , 17.6M ↑  1.1% ,  8.14M   ↑   1.5% ,
234, 234     -   ,   Coldplay ,  Music  , 17.5M   -   ,  2.47M   ↑   0.5% ,
235, 235   ↑   3  ,   Venus Movies ,  Entertainment  , 17.5M ↑  0.6% ,  234.77K   ↑   3.3% ,
